t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.09780013,-2.943143,1.159068,11.59068,6.717189,0
0.09840013,-2.942443,1.166131,11.66131,6.799309,0
0.09900013,-2.941739,1.173193,11.73193,6.881909,0
0.09960014,-2.941031,1.180253,11.80253,6.964988,0
0.1002001,-2.940319,1.187312,11.87312,7.048545,0
0.1008001,-2.939602,1.194368,11.94368,7.132579,0
0.1014001,-2.938881,1.201423,12.01423,7.217091,0
0.1020001,-2.938156,1.208477,12.08477,7.302079,0
0.1026001,-2.937427,1.215528,12.15528,7.387545,0
0.1032002,-2.936693,1.222578,12.22578,7.473485,0
0.1038002,-2.935956,1.229626,12.29626,7.559901,0
0.1044002,-2.935214,1.236672,12.36672,7.646793,0
0.1050002,-2.934467,1.243717,12.43717,7.734159,0
0.1056002,-2.933717,1.25076,12.5076,7.821999,0
0.1062002,-2.932962,1.257801,12.57801,7.910313,0
0.1068002,-2.932203,1.26484,12.6484,7.999098,0
0.1074002,-2.93144,1.271877,12.71877,8.088356,0
0.1080002,-2.930673,1.278913,12.78913,8.178086,0
0.1086002,-2.929901,1.285946,12.85946,8.268288,0
0.1092002,-2.929126,1.292978,12.92978,8.358959,0
0.1098002,-2.928345,1.300008,13.00008,8.450102,0
0.1104002,-2.927561,1.307036,13.07036,8.541713,0
0.1110002,-2.926773,1.314062,13.14062,8.633795,0
0.1116002,-2.92598,1.321086,13.21086,8.726345,0
0.1122002,-2.925183,1.328109,13.28109,8.819363,0
0.1128002,-2.924382,1.335129,13.35129,8.912848,0
0.1134002,-2.923577,1.342148,13.42148,9.006803,0
0.1140002,-2.922767,1.349164,13.49164,9.101221,0
0.1146002,-2.921954,1.356179,13.56179,9.196106,0
0.1152002,-2.921136,1.363192,13.63192,9.291457,0
0.1158002,-2.920314,1.370202,13.70202,9.387272,0
0.1164002,-2.919487,1.377211,13.77211,9.483552,0
0.1170002,-2.918657,1.384218,13.84218,9.580296,0
0.1176002,-2.917822,1.391223,13.91223,9.677502,0
0.1182002,-2.916983,1.398225,13.98225,9.775172,0
