t,x(t),v(t),p(t),eKin(t),eSpr(t), a(t), F_Feder(t)
2.256019,0.6000877,-5.877536,-58.77536,172.7272,0,-2.423763,-24.00351
2.257019,0.5942078,-5.879937,-58.79937,172.8683,0,-2.400398,-23.76831
2.258019,0.5883254,-5.882314,-58.82314,173.0081,0,-2.377033,-23.53302
2.259019,0.5824408,-5.884667,-58.84667,173.1465,0,-2.353191,-23.29763
2.260019,0.5765538,-5.886997,-58.86997,173.2837,0,-2.329826,-23.06215
2.261019,0.5706645,-5.889303,-58.89303,173.4194,0,-2.305984,-22.82658
2.262018,0.564773,-5.891585,-58.91586,173.5539,0,-2.282619,-22.59092
2.263018,0.5588791,-5.893845,-58.93845,173.687,0,-2.259254,-22.35517
2.264018,0.552983,-5.89608,-58.9608,173.8188,0,-2.235413,-22.11932
2.265018,0.5470847,-5.898292,-58.98292,173.9492,0,-2.212048,-21.88339
2.266018,0.5411842,-5.90048,-59.0048,174.0783,0,-2.188206,-21.64737
2.267018,0.5352816,-5.902645,-59.02645,174.2061,0,-2.164841,-21.41126
2.268018,0.5293768,-5.904786,-59.04786,174.3325,0,-2.140999,-21.17507
2.269018,0.5234699,-5.906904,-59.06904,174.4576,0,-2.117634,-20.9388
2.270018,0.5175609,-5.908998,-59.08997,174.5813,0,-2.093792,-20.70244
2.271018,0.5116498,-5.911068,-59.11068,174.7036,0,-2.070427,-20.46599
2.272018,0.5057367,-5.913115,-59.13115,174.8246,0,-2.046585,-20.22947
2.273018,0.4998216,-5.915137,-59.15137,174.9442,0,-2.022743,-19.99286
2.274018,0.4939044,-5.917137,-59.17137,175.0625,0,-1.999378,-19.75618
2.275017,0.4879853,-5.919112,-59.19112,175.1794,0,-1.975536,-19.51941
2.276017,0.4820643,-5.921064,-59.21064,175.295,0,-1.952171,-19.28257
2.277017,0.4761413,-5.922993,-59.22993,175.4092,0,-1.928329,-19.04565
2.278017,0.4702164,-5.924897,-59.24897,175.522,0,-1.904487,-18.80865
2.279017,0.4642896,-5.926778,-59.26778,175.6335,0,-1.880646,-18.57158
2.280017,0.4583609,-5.928635,-59.28635,175.7436,0,-1.857281,-18.33444
2.281017,0.4524305,-5.930469,-59.30469,175.8523,0,-1.833439,-18.09722
2.282017,0.4464982,-5.932278,-59.32278,175.9596,0,-1.809597,-17.85993
2.283017,0.4405641,-5.934064,-59.34064,176.0656,0,-1.785755,-17.62256
2.284017,0.4346283,-5.935826,-59.35826,176.1702,0,-1.76239,-17.38513
2.285017,0.4286907,-5.937565,-59.37565,176.2734,0,-1.738548,-17.14763
2.286017,0.4227515,-5.93928,-59.3928,176.3752,0,-1.714706,-16.91006
2.287017,0.4168105,-5.94097,-59.40971,176.4756,0,-1.690864,-16.67242
2.288017,0.4108678,-5.942637,-59.42638,176.5747,0,-1.667023,-16.43471
2.289016,0.4049236,-5.944281,-59.44281,176.6724,0,-1.643658,-16.19694
2.290016,0.3989777,-5.945901,-59.45901,176.7687,0,-1.619816,-15.95911
2.291016,0.3930302,-5.947497,-59.47497,176.8636,0,-1.595974,-15.72121
2.292016,0.3870811,-5.949069,-59.49069,176.9571,0,-1.572132,-15.48324
2.293016,0.3811305,-5.950617,-59.50617,177.0492,0,-1.54829,-15.24522
2.294016,0.3751783,-5.952142,-59.52142,177.14,0,-1.524448,-15.00713
2.295016,0.3692247,-5.953642,-59.53642,177.2293,0,-1.500606,-14.76899
2.296016,0.3632695,-5.955119,-59.55119,177.3172,0,-1.476765,-14.53078
2.297016,0.357313,-5.956572,-59.56572,177.4037,0,-1.452923,-14.29252
2.298016,0.351355,-5.958001,-59.58001,177.4889,0,-1.429081,-14.0542
2.299016,0.3453956,-5.959406,-59.59406,177.5726,0,-1.405239,-13.81582
2.300016,0.3394348,-5.960788,-59.60788,177.655,0,-1.381397,-13.57739
2.301016,0.3334726,-5.962145,-59.62145,177.7359,0,-1.357555,-13.33891
2.302016,0.3275092,-5.963479,-59.63479,177.8154,0,-1.333713,-13.10037
2.303015,0.3215444,-5.964789,-59.64789,177.8935,0,-1.309872,-12.86178
2.304015,0.3155783,-5.966075,-59.66075,177.9703,0,-1.28603,-12.62313
2.305015,0.309611,-5.967337,-59.67337,178.0456,0,-1.262188,-12.38444
2.306015,0.3036424,-5.968575,-59.68575,178.1195,0,-1.238346,-12.1457
2.307015,0.2976726,-5.96979,-59.6979,178.192,0,-1.214504,-11.9069
2.308015,0.2917016,-5.970981,-59.70981,178.2631,0,-1.190662,-11.66806
2.309015,0.2857295,-5.972147,-59.72147,178.3327,0,-1.166821,-11.42918
2.310015,0.2797562,-5.97329,-59.7329,178.401,0,-1.142979,-11.19025
2.311015,0.2737818,-5.97441,-59.74409,178.4678,0,-1.119137,-10.95127
2.312015,0.2678063,-5.975505,-59.75505,178.5333,0,-1.095295,-10.71225
2.313015,0.2618297,-5.976576,-59.76576,178.5973,0,-1.071453,-10.47319
2.314015,0.255852,-5.977623,-59.77623,178.6599,0,-1.047134,-10.23408
2.315015,0.2498734,-5.978647,-59.78647,178.7211,0,-1.023293,-9.994936
2.316015,0.2438938,-5.979646,-59.79646,178.7808,0,-0.9994506,-9.755751
2.317014,0.2379131,-5.980622,-59.80622,178.8392,0,-0.9756088,-9.516525
2.318014,0.2319316,-5.981574,-59.81573,178.8961,0,-0.9517669,-9.277262
2.319014,0.225949,-5.982502,-59.82502,178.9516,0,-0.9279251,-9.037962
2.320014,0.2199656,-5.983405,-59.83405,179.0057,0,-0.9036064,-8.798626
2.321014,0.2139813,-5.984285,-59.84285,179.0583,0,-0.8797645,-8.559254
2.322014,0.2079962,-5.985141,-59.85141,179.1096,0,-0.8559226,-8.319848
2.323014,0.2020102,-5.985973,-59.85973,179.1594,0,-0.8320808,-8.080409
2.324014,0.1960234,-5.986781,-59.86781,179.2077,0,-0.8082389,-7.840938
2.325014,0.1900359,-5.987565,-59.87565,179.2547,0,-0.7839202,-7.601435
2.326014,0.1840475,-5.988325,-59.88325,179.3002,0,-0.7600784,-7.361902
2.327014,0.1780585,-5.989061,-59.89061,179.3443,0,-0.7362365,-7.12234
2.328014,0.1720687,-5.989774,-59.89774,179.3869,0,-0.7123947,-6.882749
2.329014,0.1660783,-5.990462,-59.90462,179.4282,0,-0.688076,-6.64313
2.330014,0.1600871,-5.991126,-59.91126,179.468,0,-0.6642341,-6.403485
2.331013,0.1540954,-5.991766,-59.91766,179.5063,0,-0.6403922,-6.163814
2.332013,0.148103,-5.992383,-59.92383,179.5433,0,-0.6165504,-5.924119
2.333013,0.14211,-5.992975,-59.92975,179.5788,0,-0.5922318,-5.6844
2.334013,0.1361164,-5.993544,-59.93544,179.6128,0,-0.5683899,-5.444658
2.335013,0.1301224,-5.994088,-59.94088,179.6455,0,-0.544548,-5.204895
2.336013,0.1241278,-5.994609,-59.94609,179.6767,0,-0.5207062,-4.96511
2.337013,0.1181327,-5.995105,-59.95105,179.7064,0,-0.4963875,-4.725306
2.338013,0.1121371,-5.995578,-59.95578,179.7348,0,-0.4725456,-4.485483
2.339013,0.106141,-5.996027,-59.96027,179.7617,0,-0.4487037,-4.245642
2.340013,0.1001446,-5.996451,-59.96451,179.7871,0,-0.424385,-4.005784
2.341013,0.09414774,-5.996851,-59.96851,179.8111,0,-0.4005432,-3.76591
2.342013,0.08815052,-5.997228,-59.97228,179.8337,0,-0.3767013,-3.526021
2.343013,0.08215293,-5.997581,-59.97581,179.8549,0,-0.3523826,-3.286117
2.344012,0.07615502,-5.997909,-59.97909,179.8746,0,-0.3285408,-3.046201
2.345012,0.07015681,-5.998214,-59.98214,179.8929,0,-0.3046989,-2.806272
2.346012,0.06415831,-5.998495,-59.98495,179.9097,0,-0.2808571,-2.566333
2.347012,0.05815956,-5.998751,-59.98751,179.9251,0,-0.2565384,-2.326382
2.348012,0.05216058,-5.998984,-59.98984,179.939,0,-0.2326965,-2.086423
2.349012,0.04616138,-5.999193,-59.99193,179.9516,0,-0.2088547,-1.846455
2.350012,0.040162,-5.999377,-59.99377,179.9626,0,-0.184536,-1.60648
2.351012,0.03416247,-5.999538,-59.99538,179.9723,0,-0.1606941,-1.366499
2.352012,0.02816279,-5.999675,-59.99675,179.9805,0,-0.1368523,-1.126512
2.353012,0.022163,-5.999787,-59.99787,179.9872,0,-0.1125336,-0.8865201
2.354012,0.01616313,-5.999876,-59.99876,179.9926,0,-0.0886917,-0.6465251
2.355012,0.01016319,-5.999941,-59.99941,179.9965,0,-0.06484985,-0.4065275
2.356012,0.004163204,-5.999981,-59.99981,179.9989,0,-0.04053115,-0.1665282
2.357012,-0.001836794,-5.999998,-59.99998,179.9999,0,-0.0166893,0.07347175
2.358011,-0.007836785,-5.999991,-59.99991,179.9995,0,0.007152557,0.3134714
2.359011,-0.01383675,-5.999959,-59.9996,179.9976,0,0.03147125,0.5534698
2.360011,-0.01983665,-5.999904,-59.99904,179.9943,0,0.05531311,0.793466
2.361011,-0.02583648,-5.999825,-59.99825,179.9895,0,0.07915496,1.033459
2.362011,-0.0318362,-5.999722,-59.99722,179.9833,0,0.1034737,1.273448
2.363011,-0.03783579,-5.999594,-59.99594,179.9757,0,0.1273155,1.513432
2.364011,-0.04383523,-5.999443,-59.99443,179.9666,0,0.1511574,1.753409
2.365011,-0.0498345,-5.999268,-59.99268,179.9561,0,0.1754761,1.99338
2.366011,-0.05583357,-5.999068,-59.99068,179.9441,0,0.1993179,2.233343
2.367011,-0.06183242,-5.998845,-59.98845,179.9307,0,0.2231598,2.473297
2.368011,-0.06783102,-5.998598,-59.98598,179.9159,0,0.2474785,2.713241
2.369011,-0.07382935,-5.998326,-59.98326,179.8996,0,0.2713203,2.953174
2.370011,-0.07982738,-5.998031,-59.98031,179.8819,0,0.2951622,3.193095
2.371011,-0.08582509,-5.997712,-59.97712,179.8627,0,0.3194809,3.433003
2.37201,-0.09182245,-5.997368,-59.97368,179.8421,0,0.3433227,3.672898
2.37301,-0.09781945,-5.997001,-59.97001,179.8201,0,0.3671646,3.912778
2.37401,-0.1038161,-5.99661,-59.96609,179.7966,0,0.3914833,4.152642
2.37501,-0.1098123,-5.996194,-59.96194,179.7717,0,0.4153251,4.39249
2.37601,-0.115808,-5.995755,-59.95755,179.7454,0,0.439167,4.632321
2.37701,-0.1218033,-5.995292,-59.95292,179.7176,0,0.4630089,4.872132
2.37801,-0.1277981,-5.994805,-59.94805,179.6884,0,0.4873275,5.111925
2.37901,-0.1337924,-5.994294,-59.94294,179.6578,0,0.5111694,5.351696
2.38001,-0.1397862,-5.993759,-59.93759,179.6257,0,0.5350113,5.591447
2.38101,-0.1457794,-5.993199,-59.93199,179.5922,0,0.55933,5.831175
2.38201,-0.151772,-5.992616,-59.92616,179.5573,0,0.5831718,6.07088
2.38301,-0.157764,-5.992009,-59.92009,179.5209,0,0.6070137,6.31056
2.38401,-0.1637554,-5.991378,-59.91378,179.4831,0,0.6308555,6.550216
2.38501,-0.1697461,-5.990723,-59.90723,179.4438,0,0.6551742,6.789845
2.386009,-0.1757362,-5.990044,-59.90044,179.4031,0,0.6790161,7.029447
2.387009,-0.1817255,-5.989341,-59.89341,179.361,0,0.7028579,7.26902
2.388009,-0.1877141,-5.988615,-59.88615,179.3175,0,0.7266998,7.508564
2.389009,-0.193702,-5.987864,-59.87864,179.2726,0,0.7510185,7.748079
2.390009,-0.1996891,-5.987089,-59.87089,179.2262,0,0.7748603,7.987563
2.391009,-0.2056754,-5.98629,-59.8629,179.1783,0,0.7987022,8.227015
2.392009,-0.2116608,-5.985467,-59.85468,179.1291,0,0.822544,8.466434
2.393009,-0.2176455,-5.984621,-59.84621,179.0784,0,0.8468627,8.705818
2.394009,-0.2236292,-5.98375,-59.8375,179.0263,0,0.8707046,8.945168
2.395009,-0.2296121,-5.982855,-59.82855,178.9728,0,0.8945464,9.184483
2.396009,-0.235594,-5.981937,-59.81937,178.9178,0,0.9183883,9.42376
2.397009,-0.241575,-5.980995,-59.80995,178.8615,0,0.9422302,9.663
2.398009,-0.247555,-5.980029,-59.80029,178.8037,0,0.966072,9.902202
2.399009,-0.2535341,-5.979038,-59.79038,178.7445,0,0.9903907,10.14136
2.400008,-0.2595121,-5.978024,-59.78024,178.6839,0,1.014233,10.38048
2.401008,-0.2654891,-5.976986,-59.76986,178.6218,0,1.038074,10.61956
2.402008,-0.271465,-5.975924,-59.75924,178.5583,0,1.061916,10.8586
2.403008,-0.2774398,-5.974838,-59.74838,178.4935,0,1.085758,11.09759
2.404008,-0.2834136,-5.973729,-59.73729,178.4272,0,1.1096,11.33654
2.405008,-0.2893862,-5.972595,-59.72595,178.3595,0,1.133442,11.57545
2.406008,-0.2953576,-5.971437,-59.71437,178.2903,0,1.157761,11.8143
2.407008,-0.3013279,-5.970256,-59.70256,178.2198,0,1.181602,12.05311
2.408008,-0.3072969,-5.96905,-59.69051,178.1478,0,1.205444,12.29188
2.409008,-0.3132647,-5.967821,-59.67821,178.0744,0,1.229286,12.53059
2.410008,-0.3192313,-5.966568,-59.66568,177.9997,0,1.253128,12.76925
2.411008,-0.3251966,-5.965291,-59.65291,177.9235,0,1.27697,13.00786
2.412008,-0.3311606,-5.96399,-59.6399,177.8459,0,1.300812,13.24642
2.413007,-0.3371232,-5.962666,-59.62666,177.7669,0,1.324654,13.48493
2.414007,-0.3430846,-5.961317,-59.61317,177.6865,0,1.348495,13.72338
2.415007,-0.3490445,-5.959945,-59.59945,177.6047,0,1.372337,13.96178
2.416007,-0.3550031,-5.958549,-59.58549,177.5215,0,1.396179,14.20012
2.417007,-0.3609602,-5.957129,-59.57129,177.4369,0,1.420021,14.43841
2.418007,-0.3669159,-5.955685,-59.55685,177.3509,0,1.443863,14.67664
2.419007,-0.3728701,-5.954217,-59.54217,177.2635,0,1.467705,14.9148
2.420007,-0.3788228,-5.952725,-59.52725,177.1747,0,1.491547,15.15291
2.421007,-0.384774,-5.95121,-59.5121,177.0845,0,1.515388,15.39096
2.422007,-0.3907237,-5.949671,-59.49671,176.9929,0,1.53923,15.62895
2.423007,-0.3966718,-5.948108,-59.48108,176.8999,0,1.563072,15.86687
2.424007,-0.4026183,-5.946521,-59.46521,176.8056,0,1.586914,16.10473
2.425007,-0.4085632,-5.944911,-59.4491,176.7098,0,1.610279,16.34253
2.426007,-0.4145065,-5.943276,-59.43276,176.6127,0,1.634121,16.58026
2.427006,-0.4204481,-5.941618,-59.41618,176.5141,0,1.657963,16.81792
2.428006,-0.4263881,-5.939937,-59.39937,176.4142,0,1.681805,17.05552
2.429006,-0.4323263,-5.938231,-59.38231,176.3129,0,1.705646,17.29305
2.430006,-0.4382628,-5.936502,-59.36501,176.2103,0,1.729488,17.53051
2.431006,-0.4441975,-5.934749,-59.34749,176.1062,0,1.752853,17.7679
2.432006,-0.4501305,-5.932972,-59.32972,176.0008,0,1.776695,18.00522
2.433006,-0.4560617,-5.931171,-59.31171,175.894,0,1.800537,18.24247
2.434006,-0.461991,-5.929347,-59.29347,175.7858,0,1.824379,18.47964
2.435006,-0.4679185,-5.927499,-59.27499,175.6762,0,1.847744,18.71674
2.436006,-0.4738442,-5.925628,-59.25628,175.5653,0,1.871586,18.95377
2.437006,-0.4797679,-5.923732,-59.23732,175.453,0,1.895428,19.19072
2.438006,-0.4856897,-5.921813,-59.21813,175.3394,0,1.919269,19.42759
2.439006,-0.4916096,-5.91987,-59.1987,175.2243,0,1.942634,19.66438
2.440006,-0.4975275,-5.917904,-59.17904,175.1079,0,1.966476,19.9011
2.441005,-0.5034434,-5.915914,-59.15913,174.9902,0,1.990318,20.13774
2.442005,-0.5093573,-5.9139,-59.139,174.8711,0,2.013683,20.37429
2.443005,-0.5152692,-5.911862,-59.11862,174.7506,0,2.037525,20.61077
2.444005,-0.521179,-5.909801,-59.09801,174.6288,0,2.06089,20.84716
2.445005,-0.5270867,-5.907717,-59.07717,174.5056,0,2.084732,21.08347
2.446005,-0.5329924,-5.905608,-59.05608,174.381,0,2.108574,21.31969
2.447005,-0.5388958,-5.903476,-59.03476,174.2552,0,2.131939,21.55583
2.448005,-0.5447972,-5.90132,-59.01321,174.1279,0,2.155781,21.79189
2.449005,-0.5506963,-5.899141,-58.99141,173.9993,0,2.179146,22.02785
2.450005,-0.5565932,-5.896938,-58.96938,173.8694,0,2.202988,22.26373
2.451005,-0.562488,-5.894712,-58.94712,173.7382,0,2.226353,22.49952
2.452005,-0.5683804,-5.892462,-58.92462,173.6056,0,2.249718,22.73522
2.453005,-0.5742706,-5.890189,-58.90189,173.4716,0,2.27356,22.97083
2.454005,-0.5801585,-5.887892,-58.87892,173.3363,0,2.296925,23.20634
2.455004,-0.5860441,-5.885571,-58.85571,173.1997,0,2.320766,23.44176
2.456004,-0.5919273,-5.883227,-58.83227,173.0618,0,2.344131,23.67709
2.457004,-0.5978081,-5.880859,-58.80859,172.9225,0,2.367496,23.91232
2.458004,-0.6036866,-5.878468,-58.78468,172.7819,0,2.391338,24.14746
2.459004,-0.6095626,-5.876053,-58.76053,172.64,0,2.414703,24.38251
2.460004,-0.6154363,-5.873615,-58.73615,172.4968,0,2.438068,24.61745
2.461004,-0.6213074,-5.871153,-58.71153,172.3522,0,2.46191,24.8523
2.462004,-0.6271761,-5.868668,-58.68668,172.2063,0,2.485275,25.08704
2.463004,-0.6330423,-5.866159,-58.66159,172.0591,0,2.50864,25.32169
2.464004,-0.6389059,-5.863627,-58.63628,171.9106,0,2.532005,25.55624
2.465004,-0.6447669,-5.861072,-58.61072,171.7608,0,2.555847,25.79068
2.466004,-0.6506254,-5.858492,-58.58492,171.6097,0,2.579212,26.02502
2.467004,-0.6564813,-5.85589,-58.5589,171.4572,0,2.602577,26.25925
2.468004,-0.6623346,-5.853264,-58.53264,171.3035,0,2.625942,26.49338
2.469003,-0.6681852,-5.850615,-58.50615,171.1485,0,2.649307,26.72741
2.470003,-0.6740331,-5.847942,-58.47942,170.9921,0,2.672672,26.96132
2.471003,-0.6798784,-5.845246,-58.45246,170.8345,0,2.696037,27.19513
2.472003,-0.6857209,-5.842526,-58.42526,170.6756,0,2.719402,27.42883
2.473003,-0.6915606,-5.839784,-58.39783,170.5154,0,2.742767,27.66243
2.474003,-0.6973976,-5.837018,-58.37017,170.3539,0,2.766132,27.89591
2.475003,-0.7032319,-5.834228,-58.34228,170.1911,0,2.789497,28.12927
2.476003,-0.7090633,-5.831415,-58.31415,170.027,0,2.812862,28.36253
2.477003,-0.7148919,-5.828579,-58.28579,169.8617,0,2.836227,28.59567
2.478003,-0.7207175,-5.825719,-58.25719,169.695,0,2.859592,28.8287
2.479003,-0.7265404,-5.822836,-58.22836,169.5271,0,2.882957,29.06161
2.480003,-0.7323603,-5.81993,-58.1993,169.3579,0,2.906322,29.29441
2.481003,-0.7381773,-5.817001,-58.17001,169.1875,0,2.92921,29.52709
2.482002,-0.7439914,-5.814048,-58.14048,169.0158,0,2.952575,29.75965
2.483002,-0.7498025,-5.811072,-58.11073,168.8428,0,2.97594,29.9921
2.484002,-0.7556105,-5.808073,-58.08073,168.6685,0,2.999305,30.22442
2.485002,-0.7614156,-5.80505,-58.0505,168.493,0,3.022671,30.45662
2.486002,-0.7672176,-5.802005,-58.02005,168.3163,0,3.045559,30.6887
2.487002,-0.7730165,-5.798936,-57.98936,168.1383,0,3.068924,30.92066
2.488002,-0.7788123,-5.795844,-57.95844,167.959,0,3.092289,31.15249
2.489002,-0.7846051,-5.792728,-57.92728,167.7785,0,3.115177,31.3842
2.490002,-0.7903947,-5.78959,-57.8959,167.5968,0,3.138542,31.61579
2.491002,-0.7961811,-5.786428,-57.86428,167.4138,0,3.16143,31.84724
2.492002,-0.8019643,-5.783244,-57.83244,167.2295,0,3.184795,32.07858
2.493002,-0.8077444,-5.780036,-57.80036,167.0441,0,3.207683,32.30978
2.494002,-0.8135212,-5.776805,-57.76805,166.8574,0,3.231048,32.54085
2.495002,-0.8192948,-5.773551,-57.73551,166.6695,0,3.253937,32.77179
2.496001,-0.825065,-5.770274,-57.70274,166.4803,0,3.277302,33.0026
2.497001,-0.830832,-5.766973,-57.66973,166.2899,0,3.30019,33.23328
2.498001,-0.8365957,-5.76365,-57.6365,166.0983,0,3.323555,33.46383
2.499001,-0.842356,-5.760303,-57.60303,165.9055,0,3.346443,33.69424
2.500001,-0.8481129,-5.756934,-57.56934,165.7115,0,3.369331,33.92451
2.501001,-0.8538664,-5.753542,-57.53542,165.5162,0,3.392219,34.15466
2.502001,-0.8596165,-5.750126,-57.50126,165.3198,0,3.415584,34.38466
2.503001,-0.8653632,-5.746688,-57.46688,165.1221,0,3.438473,34.61453
2.504001,-0.8711064,-5.743227,-57.43227,164.9232,0,3.461361,34.84425
2.505001,-0.8768461,-5.739742,-57.39742,164.7232,0,3.484249,35.07384
2.506001,-0.8825824,-5.736235,-57.36235,164.5219,0,3.507614,35.3033
2.507001,-0.8883151,-5.732704,-57.32704,164.3195,0,3.530502,35.5326
2.508001,-0.8940442,-5.729151,-57.29151,164.1158,0,3.55339,35.76177
2.509001,-0.8997698,-5.725574,-57.25574,163.911,0,3.576278,35.99079
2.51,-0.9054918,-5.721975,-57.21975,163.705,0,3.599167,36.21967
2.511,-0.9112101,-5.718353,-57.18353,163.4978,0,3.622055,36.44841
2.512,-0.9169248,-5.714708,-57.14708,163.2895,0,3.644943,36.67699
2.513,-0.9226359,-5.71104,-57.1104,163.0799,0,3.667831,36.90543
2.514,-0.9283432,-5.70735,-57.0735,162.8692,0,3.690719,37.13373
2.515,-0.9340468,-5.703636,-57.03636,162.6573,0,3.713608,37.36187
2.516,-0.9397467,-5.6999,-56.999,162.4443,0,3.736019,37.58987
2.517,-0.9454428,-5.696141,-56.96141,162.2301,0,3.758907,37.81771
2.518,-0.9511352,-5.692359,-56.9236,162.0148,0,3.781795,38.04541
2.519,-0.9568237,-5.688555,-56.88555,161.7983,0,3.804683,38.27295
2.52,-0.9625084,-5.684728,-56.84727,161.5806,0,3.827095,38.50034
2.521,-0.9681893,-5.680878,-56.80878,161.3618,0,3.849983,38.72757
2.522,-0.9738663,-5.677005,-56.77005,161.1419,0,3.872871,38.95465
2.523,-0.9795394,-5.67311,-56.73109,160.9209,0,3.895283,39.18158
2.523999,-0.9852086,-5.669191,-56.69191,160.6987,0,3.918171,39.40834
2.524999,-0.9908738,-5.66525,-56.6525,160.4753,0,3.941059,39.63495
2.525999,-0.9965351,-5.661287,-56.61287,160.2508,0,3.96347,39.8614
2.526999,-1.002192,-5.6573,-56.57301,160.0252,0,3.986358,40.0877
2.527999,-1.007846,-5.653292,-56.53292,159.7985,0,4.00877,40.31383
2.528999,-1.013495,-5.649261,-56.49261,159.5707,0,4.031181,40.53979
2.529999,-1.01914,-5.645206,-56.45206,159.3418,0,4.05407,40.7656
2.530999,-1.024781,-5.64113,-56.4113,159.1117,0,4.076481,40.99125
2.531999,-1.030418,-5.637031,-56.37031,158.8806,0,4.098892,41.21673
2.532999,-1.036051,-5.632909,-56.32909,158.6483,0,4.12178,41.44204
2.533999,-1.04168,-5.628765,-56.28765,158.415,0,4.144192,41.66719
2.534999,-1.047305,-5.624599,-56.24599,158.1805,0,4.166603,41.89218
2.535999,-1.052925,-5.620409,-56.20409,157.945,0,4.189014,42.117
2.536999,-1.058541,-5.616198,-56.16198,157.7084,0,4.211903,42.34164
2.537998,-1.064153,-5.611963,-56.11963,157.4707,0,4.234314,42.56612
2.538998,-1.069761,-5.607707,-56.07706,157.2319,0,4.256725,42.79043
2.539998,-1.075364,-5.603427,-56.03428,156.992,0,4.279137,43.01457
2.540998,-1.080963,-5.599126,-55.99126,156.7511,0,4.301548,43.23853
2.541998,-1.086558,-5.594802,-55.94802,156.509,0,4.323959,43.46233
2.542998,-1.092149,-5.590456,-55.90456,156.266,0,4.346371,43.68595
2.543998,-1.097735,-5.586087,-55.86087,156.0218,0,4.368782,43.90939
2.544998,-1.103316,-5.581696,-55.81696,155.7767,0,4.390717,44.13266
2.545998,-1.108894,-5.577283,-55.77283,155.5304,0,4.413128,44.35575
2.546998,-1.114467,-5.572847,-55.72847,155.2831,0,4.435539,44.57866
2.547998,-1.120035,-5.568389,-55.6839,155.0348,0,4.457951,44.8014
2.548998,-1.125599,-5.563909,-55.63909,154.7854,0,4.480362,45.02395
2.549998,-1.131158,-5.559407,-55.59407,154.535,0,4.502296,45.24633
2.550997,-1.136713,-5.554882,-55.54882,154.2836,0,4.524708,45.46852
2.551997,-1.142264,-5.550335,-55.50335,154.0311,0,4.546642,45.69054
2.552997,-1.147809,-5.545766,-55.45766,153.7776,0,4.569054,45.91237
2.553997,-1.15335,-5.541175,-55.41175,153.5231,0,4.591465,46.13402
2.554997,-1.158887,-5.536561,-55.36562,153.2676,0,4.6134,46.35548
2.555997,-1.164419,-5.531926,-55.31926,153.011,0,4.635334,46.57676
2.556997,-1.169946,-5.527268,-55.27268,152.7535,0,4.657745,46.79785
2.557997,-1.175469,-5.522589,-55.22589,152.4949,0,4.67968,47.01875
2.558997,-1.180987,-5.517887,-55.17887,152.2354,0,4.702091,47.23946
2.559997,-1.1865,-5.513163,-55.13163,151.9748,0,4.724026,47.45999
2.560997,-1.192008,-5.508417,-55.08417,151.7133,0,4.74596,47.68033
2.561997,-1.197512,-5.503649,-55.03649,151.4507,0,4.767895,47.90047
2.562997,-1.203011,-5.498859,-54.98859,151.1873,0,4.789829,48.12043
2.563997,-1.208505,-5.494047,-54.94047,150.9227,0,4.812241,48.34019
2.564996,-1.213994,-5.489213,-54.89212,150.6573,0,4.834175,48.55976
2.565996,-1.219478,-5.484356,-54.84356,150.3908,0,4.85611,48.77914
2.566996,-1.224958,-5.479478,-54.79478,150.1234,0,4.878044,48.99831
2.567996,-1.230432,-5.474578,-54.74578,149.855,0,4.899979,49.2173
2.568996,-1.235902,-5.469656,-54.69656,149.5857,0,4.921913,49.43608
2.569996,-1.241367,-5.464713,-54.64713,149.3154,0,4.943371,49.65467
2.570996,-1.246827,-5.459748,-54.59748,149.0442,0,4.965305,49.87306
2.571996,-1.252281,-5.454761,-54.54761,148.7721,0,4.98724,50.09125
2.572996,-1.257731,-5.449751,-54.49751,148.499,0,5.009174,50.30924
2.573996,-1.263176,-5.44472,-54.4472,148.2249,0,5.031108,50.52703
2.574996,-1.268615,-5.439668,-54.39668,147.9499,0,5.052566,50.74462
2.575996,-1.27405,-5.434593,-54.34593,147.674,0,5.074501,50.96201
2.576996,-1.27948,-5.429497,-54.29497,147.3972,0,5.096435,51.17918
2.577996,-1.284904,-5.424379,-54.24379,147.1194,0,5.117893,51.39616
2.578995,-1.290323,-5.419239,-54.19239,146.8408,0,5.139827,51.61293
2.579995,-1.295737,-5.414078,-54.14078,146.5612,0,5.161285,51.82949
2.580995,-1.301146,-5.408895,-54.08895,146.2807,0,5.182743,52.04585
2.581995,-1.30655,-5.40369,-54.0369,145.9993,0,5.204677,52.262
2.582995,-1.311948,-5.398464,-53.98464,145.7171,0,5.226135,52.47794
2.583995,-1.317342,-5.393217,-53.93217,145.4339,0,5.247592,52.69367
2.584995,-1.32273,-5.387947,-53.87947,145.1499,0,5.269527,52.90918
2.585995,-1.328112,-5.382656,-53.82656,144.8649,0,5.290985,53.12449
2.586995,-1.33349,-5.377344,-53.77344,144.5791,0,5.312442,53.33958
2.587995,-1.338862,-5.37201,-53.7201,144.2924,0,5.3339,53.55446
2.588995,-1.344228,-5.366654,-53.66654,144.0049,0,5.355358,53.76913
2.589995,-1.34959,-5.361278,-53.61278,143.7165,0,5.376815,53.98358
2.590995,-1.354945,-5.355879,-53.55879,143.4272,0,5.398273,54.19781
2.591995,-1.360296,-5.35046,-53.5046,143.1371,0,5.419731,54.41183
2.592994,-1.365641,-5.345018,-53.45018,142.8461,0,5.441188,54.62563
2.593994,-1.37098,-5.339556,-53.39556,142.5543,0,5.462646,54.83921
