t,x(t),v(t)
5.379996,-4.788486,-1.587146
5.399996,-4.820229,-1.587146
5.419996,-4.851972,-1.587146
5.439996,-4.883715,-1.587146
5.459996,-4.915458,-1.587146
5.479996,-4.947201,-1.587146
5.499996,-4.978944,-1.587146
5.519996,-5.010687,-1.587146
5.539996,-5.04243,-1.587146
5.559996,-5.074173,-1.587146
5.579996,-5.105917,-1.587146
5.599996,-5.13766,-1.587146
5.619996,-5.169403,-1.587146
5.639996,-5.201146,-1.587146
5.659996,-5.232889,-1.587146
5.679996,-5.264632,-1.587146
5.699996,-5.296375,-1.587146
5.719995,-5.328118,-1.587146
5.739995,-5.359861,-1.587146
5.759995,-5.391604,-1.587146
5.779995,-5.423347,-1.587146
5.799995,-5.45509,-1.587146
5.819995,-5.486833,-1.587146
5.839995,-5.518576,-1.587146
5.859995,-5.550319,-1.587146
5.879995,-5.582062,-1.587146
5.899995,-5.613805,-1.587146
5.919995,-5.645548,-1.587146
5.939995,-5.677291,-1.587146
5.959995,-5.709034,-1.587146
5.979995,-5.740777,-1.587146
5.999995,-5.772521,-1.587146
6.019995,-5.804264,-1.587146
6.039995,-5.836007,-1.587146
6.059995,-5.86775,-1.587146
6.079995,-5.899493,-1.587146
6.099995,-5.931236,-1.587146
6.119995,-5.962979,-1.587146
6.139995,-5.994722,-1.587146
6.159995,-6.026465,-1.587146
6.179995,-6.058208,-1.587146
6.199995,-6.089951,-1.587146
6.219995,-6.121694,-1.587146
6.239995,-6.153437,-1.587146
6.259995,-6.18518,-1.587146
6.279995,-6.216923,-1.587146
6.299995,-6.248666,-1.587146
6.319995,-6.280409,-1.587146
6.339995,-6.312152,-1.587146
6.359995,-6.343895,-1.587146
6.379995,-6.375638,-1.587146
6.399995,-6.407382,-1.587146
6.419995,-6.439125,-1.587146
6.439995,-6.470868,-1.587146
6.459995,-6.502611,-1.587146
6.479995,-6.534354,-1.587146
6.499995,-6.566097,-1.587146
6.519995,-6.59784,-1.587146
6.539995,-6.629583,-1.587146
6.559995,-6.661326,-1.587146
6.579995,-6.693069,-1.587146
6.599995,-6.724812,-1.587146
6.619995,-6.756555,-1.587146
6.639995,-6.788298,-1.587146
6.659995,-6.820041,-1.587146
6.679995,-6.851784,-1.587146
6.699995,-6.883527,-1.587146
6.719995,-6.91527,-1.587146
6.739995,-6.947013,-1.587146
6.759995,-6.978756,-1.587146
6.779994,-7.010499,-1.587146
6.799994,-7.042243,-1.587146
6.819994,-7.073986,-1.587146
6.839994,-7.105729,-1.587146
6.859994,-7.137472,-1.587146
6.879994,-7.169215,-1.587146
6.899994,-7.200958,-1.587146
6.919994,-7.232701,-1.587146
6.939994,-7.264444,-1.587146
6.959994,-7.296187,-1.587146
